Death_ID,City,Incident_Type,Fatalities,Injuries,Category,Cause_of_Death
2024-GAZ-00145,"Gaza City","Drone Strike",677,5,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-00146,"Gaza City","Missile Strike",58064,8,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-00147,"Gaza City","Artillery Shelling",45481,4,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-001414,"Gaza City","Rocket Attack",3957,14,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-001444,"Gaza City",Airstrike,3733,44,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-001410,"Gaza City","Building Collapse",2369,1,"Direct Conflict","Traumatic Brain Injury"
2024-GAZ-00143,Jabalia,"Drone Strike",78,3,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-00143,Jabalia,"Artillery Shelling",213,3,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-001486,Jabalia,"Rocket Attack",6655,86,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-001498,Jabalia,Airstrike,1215,98,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-0014110,Jabalia,Airstrike,1810,11,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-001430,Jabalia,"Building Collapse",1484,3,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-00141889,"Gaza City",Airstrike,7419,1889,"Lack of Medical Access",Asphyxiation
2024-GAZ-00141234,"Gaza City","Rocket Attack",3154,1234,"Lack of Medical Access",Asphyxiation
2024-GAZ-00141703,"Gaza City","Missile Strike",2663,173,"Lack of Medical Access",Asphyxiation
2024-GAZ-001410119,"Gaza City","Missile Strike",15631,1119,"Lack of Medical Access",Asphyxiation
2024-GAZ-00149802,"Gaza City","Rocket Attack",16642,982,"Lack of Medical Access",Asphyxiation
2024-GAZ-001416904,"Gaza City","Building Collapse",27631,1694,"Lack of Medical Access",Asphyxiation
2024-GAZ-001412372,"Gaza City","Artillery Shelling",20894,12372,"Lack of Medical Access",Asphyxiation
2024-GAZ-001413,"Gaza City","Drone Strike",761,13,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-001412,"Gaza City","Artillery Shelling",832,12,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-00146,"Gaza City","Rocket Attack",528,6,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-00143,"Gaza City",Airstrike,625,3,"Lack of Medical Access","Hemorrhagic Shock"
2024-GAZ-00144,"Gaza City",Airstrike,755,4,"Lack of Medical Access","Hemorrhagic Shock"
