Death ID,City,Incident_Type,Fatalities,Injuries,Category,Cause_of_dead
2024-GAZ-00145,Gaza city,Drone Strike,677,5,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00146,Gaza city,Missile Strike,58064,8,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00147,Gaza city,Artillery Shelling,45481,4,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001414,Gaza city,Rocket Attack,3957,14,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,Gaza city,Airstrike,12,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001444,Gaza city,Airstrike,3733,44,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001410,Gaza city,Building Collapse,2369,1,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00143,Jabalia,Drone Strike,78,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,Jabalia,Artillery Shelling,213,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001486,Jabalia,Rocket Attack,6655,86,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001498,Jabalia,Airstrike,1215,98,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014110,Jabalia,Airstrike,1810,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001430,Jabalia,Building Collapse,1484,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Khan Younis,Drone Strike,1,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Khan Younis,Missile Strike,2,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Artillery Shelling,2,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Rocket Attack,3,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Airstrike,5,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Airstrike,6,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Building Collapse,3,,Direct Conflict,Crush Injuries
2024-GAZ-00140,,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-0014,,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-00140,Rafah,Missile Strike,8,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00141889,Gaza city,Airstrike,7419,1889,Lack of medical Access,Asphyxiation
2024-GAZ-00141234,Gaza city,Rocket Attack,3154,1234,Lack of medical Access,Asphyxiation
2024-GAZ-00141703,Gaza city,Missile Strike,2663,173,Lack of medical Access,Asphyxiation
2024-GAZ-001410119,Gaza city,Missile Strike,15631,1119,Lack of medical Access,Asphyxiation
